0.021608248,-0.043973691,0.089343738,0.203049735,0.366,9.7,21.6,0.87,0.032699808,0.074316203,1
0.006833012,0.026417776,0.200508787,0.321869616,0.29,11.7,20.8,1.19,0.058147548,0.093342189,2
0.038979154,-0.028866199,0.056502449,0.180411971,0.338,10.4,22.5,0.53,0.019097828,0.060979246,3
0.061622484,0.05750212,0.087938458,0.267227274,0.282,6.5,32.2,1.43,0.024798645,0.075358091,4
-0.003874759,0.077779112,0.076402055,0.21212982,0.316,7.1,25.7,0.62,0.024143049,0.067033023,5
0.020079098,0.021075943,0.098105317,0.215028734,0.336,12.6,27.5,1.1,0.032963387,0.072249655,6
-0.031358021,0.033883642,0.142616663,0.271815171,0.368,9.3,36.6,1.03,0.052482932,0.100027983,7
0.024788481,-0.000636467,0.083045984,0.169643268,0.3,11.7,20.5,0.81,0.024913795,0.05089298,8
0.009545889,0.016862437,0.118276603,0.201271576,0.258,10.7,34.1,1.3,0.030515364,0.051928067,9
0.017510906,-0.010373165,0.101838968,0.177328188,0.274,12.8,26.9,1.46,0.027903877,0.048587924,10
-0.018034516,0.011782787,0.106226575,0.193729565,0.352,9.2,30.7,0.82,0.037391754,0.068192807,11
0.006534951,0.034232462,0.054608062,0.187076147,0.332,10.9,35.9,0.73,0.018129877,0.062109281,12
-0.025926066,-0.028252764,0.106276576,0.230692666,0.338,10.5,37.3,1.37,0.035921483,0.077974121,13
0.035551203,0.079611024,0.156599108,0.321393942,0.264,12,20.7,0.56,0.041342165,0.084848001,14
0.025440749,-0.015612392,0.098415568,0.202391983,0.296,12.4,27.6,0.82,0.029131008,0.059908027,15
-0.031903822,-0.005032062,0.162275627,0.309654224,0.296,9.9,21.6,0.8,0.048033586,0.09165765,16
0.01468526,-0.031840708,0.167448193,0.281125699,0.366,9.3,24.9,0.66,0.061286039,0.102892006,17
0.045670484,0.030966218,0.173576072,0.312093292,0.32,8.2,32.6,1.46,0.055544343,0.099869853,18
0.023822312,0.026112312,0.084188164,0.186484543,0.23,9.1,35.2,1.29,0.019363278,0.042891445,19
-0.028462287,0.003842542,0.163615244,0.298957692,0.25,11.4,35.4,1.11,0.040903811,0.074739423,20
-0.058165692,-0.054911298,0.130818203,0.297317855,0.36,14.4,26.4,1.01,0.047094553,0.107034428,21
-0.036494937,-0.005965278,0.107878071,0.197037587,0.372,9.2,36.3,1.3,0.040130642,0.073297982,22
0.019730273,-0.029762946,0.202178181,0.323276681,0.37,8.4,29.9,1.46,0.074805927,0.119612372,23
-0.004869485,-0.036214422,0.078940061,0.213365708,0.316,8.7,21.4,1.03,0.024945059,0.067423564,24
0.009305284,0.040323094,0.076009087,0.22277216,0.38,9.3,30.1,1.16,0.028883453,0.084653421,25
-0.020588091,0.001803025,0.129988698,0.198891432,0.248,14.8,20.8,1.4,0.032237197,0.049325075,26
